0,-18,-13,27,19,1,30,28
-10,-9,7,-9,-21,31,-25,-30
-29,-28,29,31,28,-27,-15,-18
-12,-14,-24,24,-12,10,-24,26
-5,19,-31,31,-24,-18,1,18
6,29,-28,-25,-9,2,-13,-30
-10,4,24,23,-26,-8,-10,-9
-31,30,27,7,16,9,-31,25
-24,22,22,-29,-9,17,-1,-16
0,1,19,-27,6,-26,26,-11
-19,-10,7,7,18,16,-8,10
-30,-29,-10,-4,-1,-9,-20,3
5,0,16,-8,-19,24,2,-11
17,23,-31,-29,13,16,-19,24
-26,26,27,-9,19,15,4,27
24,-3,3,29,6,-1,-29,26
-13,-9,1,-28,14,13,28,14
-17,24,17,22,-32,24,-27,-25
-10,-16,-30,6,-23,0,31,3
-12,-27,28,-24,28,9,13,-22
-30,-22,-24,-26,30,25,-17,-25
27,13,17,31,-20,-10,-31,-3
-5,11,28,-28,-21,7,21,-1
24,-9,-4,-13,-17,19,-27,-11
20,12,27,25,9,-23,-14,-30
19,4,26,15,-2,0,-13,14
-6,13,29,7,27,-32,-16,-4
3,-3,-15,10,-23,19,-26,-15
-12,4,-19,1,13,-3,21,20
28,-14,-13,-4,-5,21,14,-3
-3,-24,-2,-8,8,26,-12,27
20,-15,-28,-11,11,-10,-5,-5
16,14,-14,-24,2,24,-27,17
-28,28,-8,-22,30,-15,3,9
9,-11,28,27,0,13,-26,-4
20,19,20,-10,-8,-27,23,17
-30,-19,-3,7,-8,-26,-8,-29
-15,-25,-28,21,-31,-20,14,-32
-24,-6,20,13,8,-19,16,-2
26,-20,-16,7,-23,-5,10,-28
13,28,-18,-13,-9,9,0,-14
24,25,-3,-18,-31,-6,10,-31
-21,14,-23,-8,9,26,2,-1
9,25,14,12,-5,10,28,26
-10,5,-9,-7,17,-10,26,-32
22,-30,-22,19,-22,-28,-11,-2
-5,-11,30,-26,-29,30,9,5
31,-4,5,-15,23,-3,-3,-9
-6,29,31,-9,-27,-32,-3,5
-16,8,-16,-8,-28,9,-19,21
-27,-21,-31,3,29,30,14,7
10,17,-2,2,26,-22,-3,24
14,-30,-7,-27,0,27,-8,5
-26,-18,20,27,5,-14,-25,29
11,-21,-2,-24,-1,1,24,20
4,9,-24,-25,-4,-1,25,-20
-24,-13,-25,-17,-1,-23,-13,23
14,-11,-27,27,-14,-23,-18,-25
2,25,12,-15,-1,-10,-28,-28
-23,-7,-30,27,-16,14,4,-6
21,-15,4,2,25,13,29,28
26,-16,5,-14,17,14,5,-2
3,14,-14,26,-30,0,-25,14
-6,20,-9,-11,8,7,-3,-18
-12,-3,13,-22,-26,19,4,-30
31,-26,-20,-5,-12,-6,-27,29
-12,-23,4,27,7,18,-4,15
16,14,6,-9,1,0,7,27
-32,18,17,-2,-20,22,30,-21
-18,-15,9,-10,-9,16,18,-23
-1,2,22,23,-23,-21,17,12
31,0,13,-2,-27,28,2,-8
0,-11,12,3,11,1,19,6
-2,8,-21,-5,12,-12,-27,25
-25,4,-10,25,-18,-23,25,0
19,15,-11,12,-19,29,27,17
-19,11,-26,29,-29,-19,25,-23
15,11,-21,-29,26,-3,-19,10
23,-19,-14,16,7,14,10,21
25,-19,-1,3,15,-24,3,-27
-20,6,24,7,17,17,-25,7
6,10,-23,-4,-23,15,5,31
31,-5,5,-10,-22,18,19,23
-18,3,-30,-19,3,-2,-20,9
-17,-4,28,-15,1,-2,28,-16
1,6,-25,-14,13,-1,8,1
10,-10,25,2,-6,-11,-9,8
-29,-27,12,8,-28,-12,-6,10
-10,-22,-28,-23,-24,-16,5,30
11,6,9,23,20,9,10,-25
6,-9,6,-6,25,-7,5,28
20,14,26,-16,21,-2,14,-30
-23,9,-17,14,-30,23,-21,-8
-13,10,7,6,25,25,24,5
-19,-5,15,4,1,-23,6,19
-7,-27,-11,31,6,3,-24,12
-14,22,21,-31,14,-23,27,7
-8,0,-27,22,-11,-6,18,17
-32,-3,-32,29,-13,-9,-29,-7
6,-10,30,2,11,24,27,14
10,-13,29,30,15,-2,-29,-18
8,-12,3,1,-13,2,26,28
29,-17,-1,-21,23,20,-5,1
-32,-25,-24,13,18,-3,-23,24
-23,24,15,-31,-28,-5,8,12
-13,3,23,-10,-5,27,3,-17
-17,25,27,-28,3,2,5,29
25,-28,-4,-3,15,-15,12,-11
17,9,-15,-29,26,25,15,-4
-20,25,-12,-3,27,-14,-11,-6
18,-1,4,26,-11,19,-21,24
9,18,-18,-5,-31,-29,19,-28
-25,-24,-21,7,-8,-21,10,-24
-29,-16,-13,-18,-14,-22,31,5
27,25,-2,10,15,5,27,-11
11,7,-32,-16,-23,-5,19,-6
30,-30,-23,-9,4,3,-7,-24
-9,-28,1,-32,-17,4,21,16
-7,-23,23,29,8,-31,-11,-24
-13,-29,12,0,17,22,-11,-14
27,26,-12,-6,22,-31,15,3
16,-27,-6,2,21,-15,-26,-13
-17,-25,-29,30,-30,-25,0,-19
14,-9,18,-1,-12,-10,24,-10
24,19,1,-13,-18,-32,-18,11
-13,17,-21,-11,-14,17,-22,-12
6,-27,-19,24,17,-25,9,8
-20,10,-9,-32,-7,10,12,-20
-22,27,1,11,-29,7,18,-17
-19,-20,27,-24,-12,-14,-10,14
25,-20,21,-11,-23,-19,23,6
