1,-9,-8,3,-6,2,-4,8,-16
2,-9,15,-11,8,14,4,-16,-4
3,13,-1,8,6,15,-7,-13,15
4,15,6,14,14,12,9,7,13
5,15,-16,1,2,12,-5,2,-7
6,-13,-2,10,12,14,4,14,-3
7,-4,-12,-8,15,7,-16,-15,5
8,14,-2,-7,5,10,8,-12,-11
9,-4,5,-14,11,-15,7,-7,3
10,3,3,-9,3,-9,6,10,4
11,-3,-3,-5,-10,-9,-7,9,-14
12,-3,1,-5,-14,-12,-16,-12,2
13,6,7,-16,-13,5,4,-15,6
14,8,11,-7,8,-7,-11,-10,-11
15,0,-10,3,10,5,-8,-3,0
16,-9,-12,11,3,12,-7,-14,13
17,3,-2,10,-1,1,-16,8,12
18,10,-12,-2,10,-4,11,-6,11
19,-3,-14,-13,-5,-6,-4,4,8
20,-11,-15,-3,11,-11,0,-6,-16
21,-1,2,6,-10,4,14,15,15
22,-8,-11,10,-10,7,9,-11,12
23,-10,4,12,-4,-14,3,-16,6
24,7,10,11,-4,-10,-14,-3,-15
25,2,2,0,10,7,-7,-14,11
26,-15,8,-6,-7,-3,13,-10,-10
27,8,2,-4,4,-6,11,-3,3
28,-7,2,15,-14,7,-9,-12,3
29,-9,-13,-7,11,-9,-10,-1,10
30,15,5,5,12,-9,-8,14,7
31,1,9,14,8,6,-3,-9,8
32,-4,9,14,9,-12,-10,-3,-6
33,-7,9,-13,-15,-2,9,-1,13
34,-13,-4,-3,-7,13,14,13,-11
35,-16,12,-9,-8,8,7,-10,14
36,-3,-3,4,15,12,-2,-15,15
37,14,11,-9,-12,-10,3,4,-10
38,-2,-1,-13,-9,7,-8,9,-1
39,-11,10,14,5,10,3,-13,-9
40,-15,-15,9,-13,-3,-13,15,-2
41,-14,-14,12,15,13,-2,-8,13
42,-7,13,-8,-13,-7,8,-6,-14
43,3,10,-12,9,9,-13,11,-13
44,-9,10,8,10,10,15,2,-3
45,-12,5,-4,4,-3,-9,9,9
46,-16,-14,2,-14,5,-4,6,8
47,-5,10,-14,12,8,9,10,12
48,-4,1,-4,-11,7,4,9,14
49,2,-12,14,6,1,6,14,-4
50,3,-12,-5,-16,4,-11,-10,15
51,-3,-11,-1,12,-13,15,6,-6
52,-5,7,-10,9,-11,14,9,13
53,9,3,-2,-1,-12,6,-8,-13
54,12,3,12,-12,1,-3,1,-13
55,-15,-10,-3,2,-6,10,-2,-14
56,-9,-3,6,-8,-15,-13,8,12
57,-13,1,8,9,-9,13,-15,-10
58,-11,10,-12,4,7,4,-7,2
59,0,9,3,-10,3,4,-4,-14
60,-6,7,-8,9,-8,-15,-16,-5
61,-3,4,-12,6,11,-7,-16,11
62,13,3,15,8,11,1,1,-7
63,-13,1,0,8,-3,-11,-13,-10
64,11,1,3,12,9,0,11,14
65,-10,-6,13,14,-4,14,-13,6
66,-9,9,-12,-16,-1,-9,-11,-9
67,8,-16,10,13,-8,-11,-12,-4
68,6,-7,-4,12,-12,-12,2,13
69,2,-9,-6,-15,-2,-4,-12,-2
70,12,-12,9,-15,1,-14,-16,10
71,-16,5,-1,-7,-13,0,-1,15
72,-16,-4,-5,-3,-15,4,-13,15
73,-3,-9,9,15,14,-13,3,4
74,10,-4,13,-4,-2,13,-4,-10
75,7,0,3,-3,-14,4,9,10
76,-2,5,9,-10,-15,5,11,15
77,2,1,4,-11,-1,-11,6,7
78,-9,-13,-1,-1,-10,11,-16,4
79,-2,15,3,-2,-3,1,-13,2
80,7,4,9,-15,-4,-7,-12,-11
81,-3,5,3,-10,-6,1,-7,6
82,13,7,11,-12,6,-14,-9,-11
83,14,-6,2,-12,-3,-14,-1,2
84,-15,-8,-7,3,1,5,4,1
85,1,2,14,1,11,4,-11,-1
86,14,-4,5,-8,1,-6,-2,-12
87,-2,12,-11,13,15,14,0,-6
88,-7,15,12,5,-4,-15,13,-15
89,0,1,-7,-15,8,-3,-10,-5
90,-3,9,-14,-8,-13,-16,7,11
91,-7,1,-9,9,-9,-6,-4,9
92,-2,6,3,-3,8,9,2,4
93,13,10,-9,7,2,9,10,-9
94,-4,-6,10,-10,9,0,6,-2
95,-9,-1,15,2,-13,4,-6,-6
96,-2,-14,13,11,13,12,-8,9
97,3,5,1,-9,-12,-1,13,14
98,12,2,14,6,0,-9,0,-4
99,-6,2,-5,12,-7,-8,-8,-6
100,1,6,10,-8,-5,-14,-4,3
101,6,-1,-14,3,-15,-3,9,8
102,11,8,-7,11,13,13,5,14
103,-16,0,-7,5,5,-3,-10,11
104,3,-5,-6,13,10,6,-5,0
105,2,1,6,-12,-8,7,14,5
106,-1,4,11,5,-4,6,6,-2
107,10,-5,-8,9,-13,-5,-9,6
108,15,-1,8,10,6,-13,9,14
109,9,-2,-5,3,-7,-8,10,4
110,-12,-2,-12,-12,-11,-9,-12,-8
111,9,-8,10,-16,-13,-4,-9,-11
112,-8,5,-8,-13,9,-3,13,8
113,-5,-10,0,13,-5,-12,11,3
114,-5,-3,-6,-9,2,-9,-2,0
115,-14,-4,-15,-6,7,5,-9,-11
116,1,-6,4,-13,-11,14,13,-3
117,9,-10,7,2,5,-3,12,-8
118,14,14,-6,1,14,-9,0,6
119,-15,-9,-7,-4,-1,-9,-11,-16
120,-4,-1,14,11,9,-8,-1,7
121,4,0,2,-5,7,-15,-16,6
122,4,-13,9,8,-3,5,-5,13
123,-5,11,-1,-8,11,15,4,10
124,8,12,-9,12,5,-11,-10,-16
125,1,-11,13,4,0,3,-3,11
126,10,3,-8,-1,-2,1,-12,-5
127,8,-3,12,-13,-15,-8,-15,-8
128,6,15,-8,-15,5,13,-15,-3
129,10,-4,12,-6,14,8,-16,-3
130,10,-5,4,13,-14,9,-2,12
131,13,14,13,-5,15,-11,-13,-16
132,-16,-16,13,-14,7,12,8,-13
133,-1,-3,-4,4,-14,2,-8,0
134,1,-15,-6,-6,-12,-2,-9,-9
135,-4,-3,0,0,-5,4,-3,-7
136,-7,4,9,0,7,10,4,7
137,7,-9,5,12,-12,2,-4,-13
138,-4,-16,4,14,-16,-13,9,-14
139,11,9,-3,9,-4,10,-12,4
140,-15,-13,2,14,3,-14,12,0
141,-9,-1,2,12,-12,-13,6,-14
142,-15,-5,-6,-16,-10,-15,10,-15
143,15,-16,3,-4,2,3,1,-2
144,13,-5,2,3,-1,6,12,8
145,-1,13,-15,5,-8,3,12,4
146,14,-3,-9,-9,12,-6,15,8
147,-9,12,-12,1,11,-1,-9,8
148,12,-2,-5,-14,15,15,8,14
149,-16,8,-15,-4,1,-15,11,-8
150,-13,7,-3,-9,-14,-12,12,-8
151,-2,5,-12,-5,15,2,15,-9
152,14,-15,-12,12,-4,-12,-6,3
153,-4,-2,5,-3,-13,2,10,9
154,10,11,-15,-15,-9,0,-6,-7
155,-16,-3,14,-2,10,-11,1,13
156,5,7,-10,-8,-12,-3,-9,-11
157,6,-12,4,13,1,0,-6,10
158,8,-11,13,-4,-4,7,1,11
159,1,-2,0,6,5,-4,-11,-8
160,11,-5,7,10,-11,-12,-3,6
161,-14,6,-9,-4,13,7,-13,-3
162,0,7,-10,15,10,-6,8,-8
163,-9,12,4,-11,-16,10,-4,5
164,3,-5,10,3,-12,-14,-12,14
165,13,-7,-13,-9,-7,4,10,-6
166,-11,-2,-1,-3,-11,15,-7,6
167,-16,-14,-8,-6,4,4,-10,-10
168,15,-2,2,2,-5,14,-9,-3
169,14,-12,-7,-4,0,4,9,-4
170,9,12,-7,15,-5,5,-6,5
171,2,12,-16,-15,8,-11,-15,-1
172,-5,4,-9,15,15,-7,-3,2
173,2,-13,0,-16,-16,8,11,-12
174,-13,-8,15,-1,-6,7,1,-10
175,-10,7,7,8,-13,-9,14,-4
176,4,-6,4,11,-5,0,-3,0
177,5,1,15,3,-12,10,-12,-3
178,5,12,-2,1,-3,10,14,10
179,2,-14,2,-11,-11,2,-2,6
180,-7,-1,-2,7,6,6,11,11
181,-3,10,5,10,3,-10,-1,-8
182,1,11,-15,4,-3,7,3,-4
183,10,15,-1,7,1,3,0,10
184,-14,1,8,-15,2,-3,-8,-4
185,-8,-15,1,-10,-15,-10,7,-14
186,-12,-12,-13,1,-15,2,-3,0
187,-8,-8,-13,-3,15,-6,4,-7
188,-6,-16,-14,11,12,9,12,13
189,-1,13,10,-4,-1,-2,9,-13
190,12,-13,-9,10,11,3,6,10
191,12,-10,-5,-7,-9,-12,-12,-1
192,1,-11,12,8,-5,1,-11,-1
193,8,-12,12,1,8,-8,-11,-14
194,11,1,-3,4,5,-14,-14,-12
195,-10,-15,-15,11,-16,-11,5,-4
196,1,-10,-7,7,0,-2,0,-15
197,2,-2,12,11,6,13,-11,4
198,-6,-9,-1,5,9,-16,3,7
199,-7,-7,-16,-12,-9,12,2,-11
200,14,15,8,-9,5,-2,-6,-1
201,5,-7,8,6,-11,13,6,5
202,9,4,2,-10,-11,4,-9,5
203,4,14,0,13,-11,4,9,9
204,-11,-10,-2,14,-2,3,11,3
205,-2,5,-2,-11,-14,4,-14,-10
206,10,2,15,-9,2,-14,3,2
207,-6,-3,8,0,0,-8,8,-7
208,5,-1,6,5,12,-16,1,11
209,-2,15,-14,-13,-15,2,-5,11
210,-1,10,8,-6,0,7,-1,-11
211,-9,-8,1,-10,-11,-8,4,-1
212,1,7,-8,5,3,-3,-2,-13
213,8,8,-14,2,12,10,-8,-9
214,5,3,-14,10,-12,4,15,-2
215,2,2,-8,9,-13,-15,8,4
216,2,-11,3,-12,-1,4,-4,-11
217,-15,-8,3,0,-16,11,2,9
218,7,-10,9,-9,13,-8,0,-8
219,5,14,5,-5,11,-6,9,14
220,-8,-15,8,13,15,-15,10,-6
221,-1,0,13,-6,14,-16,5,14
222,-10,-8,12,-11,8,0,11,-15
223,5,13,-11,6,5,14,-7,-15
224,9,5,-3,-9,3,-15,12,-9
225,-10,-1,2,4,15,-6,-9,-1
226,-3,6,-11,-2,-4,-5,8,-14
227,-14,10,15,10,-12,2,-3,11
228,9,-16,-12,-8,-8,4,-14,-3
229,4,-6,7,11,13,6,-12,-13
230,-14,2,-4,-10,-15,12,-2,-4
231,6,-7,-13,6,-1,11,-4,15
232,-10,-2,2,-10,-7,7,12,-6
233,0,-5,3,8,-11,3,7,-10
234,0,-5,7,-10,-16,8,12,-2
235,9,15,13,-1,6,-2,-8,-8
236,0,9,-3,-2,13,-11,-6,14
237,1,-10,-11,-16,6,-2,-14,11
238,7,-1,11,0,-9,-6,5,-13
239,11,-15,5,-2,-14,1,8,2
240,-16,-6,15,4,-2,-7,-2,11
241,-13,-11,-5,1,-6,7,-6,6
242,-1,-3,-9,-10,-16,-6,4,-8
243,-9,-16,2,-7,8,14,-8,-3
244,13,9,-3,-13,0,2,-6,4
245,-4,-14,15,7,9,-12,-7,-12
246,2,-4,9,13,-1,-13,8,4
247,6,-15,7,15,0,11,4,-8
248,-2,-7,-6,-4,-12,-8,-6,-11
